project_id,delay_days,is_delayed,sanction_sla_delay_days,planned_duration_days,actual_duration_days,project_duration,project_duration_days,elapsed_duration_days,admin_sanction_duration_days,tendering_duration_days,total_planned_lifecycle_days,utilization_ratio_sanctioned,utilization_ratio_released,utilization_ratio,cost_deviation_sanction,cost_deviation_sanction_pct,cost_deviation_expenditure,cost_deviation_expenditure_pct,cost_deviation,has_cost_overrun,unreleased_allocation,planned_schedule_pct,progress_gap_schedule,progress_gap,progress_gap_fin_phy,is_schedule_lagging,is_disbursement_skewed,category_mean_cost,category_median_cost,category_std_cost,category_min_cost,category_max_cost,category_project_count,cost_per_category,cost_relative_to_category,cost_category_zscore
MPLADS-2024-0011,0,False,0,242,,106,106,106,37,17,296,0.4375,0.875,0.875,-200000.0,-4.0,-2700000.0,-56.25,-2700000.0,False,2400000.0,43.8,-21.2,-21.2,22.5,False,True,3466666.67,4200000.0,1814754.35,1400000.0,4800000.0,3,3466666.67,1.3846,0.7347
MPLADS-2024-0012,0,False,0,258,,61,61,61,39,26,323,0.2667,0.5333,0.5333,0.0,0.0,-2200000.0,-73.33,-2200000.0,False,1500000.0,23.64,-41.36,-41.36,-11.67,False,False,2250000.0,2250000.0,1060660.17,1500000.0,3000000.0,2,2250000.0,1.3333,0.7071
MPLADS-2024-0013,0,False,0,171,,51,51,51,41,26,238,0.1667,0.3333,0.3333,0.0,0.0,-1500000.0,-83.33,-1500000.0,False,900000.0,29.82,-35.18,-35.18,-31.67,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,1.0141,0.0272
MPLADS-2024-0014,-5,False,0,120,115.0,115,115,120,18,16,154,0.9821,0.9821,0.9821,0.0,0.0,-50000.0,-1.79,-50000.0,False,0.0,100.0,0.0,0.0,-1.79,False,False,2433333.33,2500000.0,404145.19,2000000.0,2800000.0,3,2433333.33,1.1507,0.9073
MPLADS-2024-0015,0,False,0,214,,48,48,48,42,23,279,0.0625,0.125,0.125,0.0,0.0,-1500000.0,-93.75,-1500000.0,False,800000.0,22.43,12.43,12.43,2.5,True,False,1600000.0,1600000.0,0.0,1600000.0,1600000.0,1,1600000.0,1.0,0.0
MPLADS-2024-0016,0,False,0,184,,79,79,79,44,23,251,0.3333,0.6667,0.6667,0.0,0.0,-3000000.0,-66.67,-3000000.0,False,2250000.0,42.93,-22.07,-22.07,1.67,False,False,3900000.0,4000000.0,655743.85,3200000.0,4500000.0,3,3900000.0,1.1538,0.915
MPLADS-2024-0017,-5,False,0,102,97.0,97,97,118,22,12,136,0.9857,0.9857,0.9857,0.0,0.0,-20000.0,-1.43,-20000.0,False,0.0,100.0,0.0,0.0,-1.43,False,False,3466666.67,4200000.0,1814754.35,1400000.0,4800000.0,3,3466666.67,0.4038,-1.1388
MPLADS-2024-0018,95,True,0,154,,108,108,108,38,20,212,0.2368,0.4737,0.4737,-200000.0,-5.0,-2900000.0,-76.32,-2900000.0,False,1900000.0,70.13,35.13,35.13,12.37,True,False,2333333.33,2000000.0,1331665.62,1200000.0,3800000.0,3,2333333.33,1.6286,1.1014
MPLADS-2024-0019,-2,False,0,79,77.0,77,77,105,18,17,114,0.9867,0.9867,0.9867,0.0,0.0,-20000.0,-1.33,-20000.0,False,0.0,100.0,0.0,0.0,-1.33,False,False,2250000.0,2250000.0,1060660.17,1500000.0,3000000.0,2,2250000.0,0.6667,-0.7071
MPLADS-2024-0020,0,False,0,245,,64,64,64,43,21,309,0.1667,0.3333,0.3333,-200000.0,-6.25,-2500000.0,-83.33,-2500000.0,False,1500000.0,26.12,-38.88,-38.88,-31.67,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,1.6901,1.3346
