dataset_name,column_index,column_name,inferred_data_type,total_rows,non_null_count,null_count,null_percentage,unique_count,unique_percentage,duplicate_count,min_value,max_value,mean,median,std_dev,distribution_summary,sample_values,data_quality_issues
master_dim_states_constituencies.csv,7,st_reserved_seats,INTEGER,36,36,0,0.0,7,19.44,29,0,6,1.22,0.00,1.73,Min: 0 | Q1: 0.00 | Med: 0.00 | Q3: 2.00 | Max: 6,3 | 5 | 0 | 1,No quality anomalies detected (Clean)
master_dim_states_constituencies.csv,8,statutory_sc_allocation_pct,FLOAT,36,36,0,0.0,1,2.78,35,15.00,15.00,15.00,15.00,0.00,Min: 15.00 | Q1: 15.00 | Med: 15.00 | Q3: 15.00 | Max: 15.00,15.0,Constant column (zero variance); Single unique value across all rows
master_dim_states_constituencies.csv,9,statutory_st_allocation_pct,FLOAT,36,36,0,0.0,1,2.78,35,7.50,7.50,7.50,7.50,0.00,Min: 7.50 | Q1: 7.50 | Med: 7.50 | Q3: 7.50 | Max: 7.50,7.5,Constant column (zero variance); Single unique value across all rows
master_dim_states_constituencies.csv,10,cumulative_released_cr,FLOAT,36,36,0,0.0,32,88.89,4,140.00,13910.00,2650.56,1585.00,3022.41,Min: 140.00 | Q1: 343.75 | Med: 1585.00 | Q3: 4308.75 | Max: 13910.00,13910.00 | 7180.00 | 385.00 | 790.00,No quality anomalies detected (Clean)
master_dim_states_constituencies.csv,11,cumulative_expenditure_cr,FLOAT,36,36,0,0.0,36,100.0,0,131.20,13120.80,2533.18,1525.50,2870.06,Min: 131.20 | Q1: 325.23 | Med: 1525.50 | Q3: 4153.01 | Max: 13120.80,2225.10 | 4760.30 | 381.25 | 765.20,"Candidate Primary Key (100% unique, 0% null)"
master_dim_states_constituencies.csv,12,unspent_balance_cr,FLOAT,36,36,0,0.0,36,100.0,0,2.20,789.20,117.37,69.50,162.12,Min: 2.20 | Q1: 10.07 | Med: 69.50 | Q3: 155.74 | Max: 789.20,64.60 | 369.70 | 2.20 | 159.70,"Candidate Primary Key (100% unique, 0% null)"
master_dim_states_constituencies.csv,13,utilization_pct,FLOAT,36,36,0,0.0,34,94.44,2,92.11,98.53,96.04,96.29,1.36,Min: 92.11 | Q1: 95.37 | Med: 96.29 | Q3: 96.88 | Max: 98.53,96.39 | 92.11 | 96.86 | 96.1,No quality anomalies detected (Clean)
master_dim_states_constituencies.csv,14,works_completed_count,INTEGER,36,36,0,0.0,36,100.0,0,2390,241200,47900.83,30350.00,53069.40,Min: 2390 | Q1: 5790.00 | Med: 30350.00 | Q3: 79790.00 | Max: 241200,6450 | 4350 | 34500 | 43800,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,1,state_id,INTEGER,36,36,0,0.0,36,100.0,0,1,38,19.11,18.50,11.13,Min: 1 | Q1: 9.75 | Med: 18.50 | Q3: 29.25 | Max: 38,3 | 5 | 23 | 38,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,2,state_name,STRING,36,36,0,0.0,36,100.0,0,Goa,Dadra & Nagar Haveli and Daman & Diu,,,,Andhra Pradesh: 1 (2.8%); Arunachal Pradesh: 1 (2.8%); Assam: 1 (2.8%); Bihar: 1 (2.8%); and 32 other distinct values,Karnataka | Tamil Nadu | Jammu And Kashmir | Ladakh,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,3,entitlement_cr,FLOAT,36,36,0,0.0,25,69.44,11,155.00,14820.00,2807.64,1670.00,3204.09,Min: 155.00 | Q1: 376.25 | Med: 1670.00 | Q3: 4582.50 | Max: 14820.00,7180.00 | 7240.00 | 2450.00 | 7620.00,No quality anomalies detected (Clean)
parliament_qa_state_expenditure.csv,4,released_cr,FLOAT,36,36,0,0.0,32,88.89,4,140.00,13910.00,2650.56,1585.00,3022.41,Min: 140.00 | Q1: 343.75 | Med: 1585.00 | Q3: 4308.75 | Max: 13910.00,13910.00 | 7180.00 | 385.00 | 790.00,No quality anomalies detected (Clean)
parliament_qa_state_expenditure.csv,5,expenditure_cr,FLOAT,36,36,0,0.0,36,100.0,0,131.20,13120.80,2533.18,1525.50,2870.06,Min: 131.20 | Q1: 325.23 | Med: 1525.50 | Q3: 4153.01 | Max: 13120.80,2225.10 | 4760.30 | 381.25 | 765.20,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,6,unspent_balance_cr,FLOAT,36,36,0,0.0,36,100.0,0,2.20,789.20,117.37,69.50,162.12,Min: 2.20 | Q1: 10.07 | Med: 69.50 | Q3: 155.74 | Max: 789.20,369.70 | 64.60 | 2.20 | 159.70,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,7,utilization_rate_pct,FLOAT,36,36,0,0.0,34,94.44,2,92.11,98.53,96.04,96.29,1.36,Min: 92.11 | Q1: 95.37 | Med: 96.29 | Q3: 96.88 | Max: 98.53,96.39 | 92.11 | 96.86 | 96.1,No quality anomalies detected (Clean)
parliament_qa_state_expenditure.csv,8,works_recommended,INTEGER,36,36,0,0.0,36,100.0,0,2600,284500,54378.33,33650.00,61106.74,Min: 2600 | Q1: 6412.50 | Med: 33650.00 | Q3: 89362.50 | Max: 284500,3100 | 38900 | 148200 | 42100,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,9,works_sanctioned,INTEGER,36,36,0,0.0,35,97.22,1,2480,259800,50720.83,31600.00,56547.33,Min: 2480 | Q1: 6015.00 | Med: 31600.00 | Q3: 83282.50 | Max: 259800,6420 | 46100 | 4750 | 93200,No quality anomalies detected (Clean)
parliament_qa_state_expenditure.csv,10,works_completed,INTEGER,36,36,0,0.0,36,100.0,0,2390,241200,47900.83,30350.00,53069.40,Min: 2390 | Q1: 5790.00 | Med: 30350.00 | Q3: 79790.00 | Max: 241200,6450 | 4350 | 34500 | 43800,"Candidate Primary Key (100% unique, 0% null)"
parliament_qa_state_expenditure.csv,11,sanction_rate_pct,FLOAT,36,36,0,0.0,34,94.44,2,89.22,96.94,93.73,93.73,1.58,Min: 89.22 | Q1: 93.00 | Med: 93.73 | Q3: 94.76 | Max: 96.94,95.99 | 94.62 | 91.03 | 92.83,No quality anomalies detected (Clean)
parliament_qa_state_expenditure.csv,12,completion_rate_pct,FLOAT,36,36,0,0.0,36,100.0,0,90.38,97.99,94.85,95.22,1.79,Min: 90.38 | Q1: 93.41 | Med: 95.22 | Q3: 96.27 | Max: 97.99,94.93 | 92.2 | 92.84 | 93.43,"Candidate Primary Key (100% unique, 0% null)"
progress.csv,1,project_id,STRING,20,20,0,0.0,20,100.0,0,MPLADS-2024-0001,MPLADS-2024-0020,,,,MPLADS-2024-0001: 1 (5.0%); MPLADS-2024-0002: 1 (5.0%); MPLADS-2024-0003: 1 (5.0%); MPLADS-2024-0004: 1 (5.0%); and 16 other distinct values,MPLADS-2024-0009 | MPLADS-2024-0020 | MPLADS-2024-0001 | MPLADS-2024-0005,"Candidate Primary Key (100% unique, 0% null)"
progress.csv,2,reported_date,DATE,20,20,0,0.0,1,5.0,19,2024-11-15,2024-11-15,,,,2024-11-15: 20 (100.0%),2024-11-15,Single unique value across all rows
progress.csv,3,physical_progress_pct,FLOAT,20,20,0,0.0,4,20.0,16,10.00,100.00,70.50,65.00,29.19,Min: 10.00 | Q1: 65.00 | Med: 65.00 | Q3: 100.00 | Max: 100.00,100.0 | 35.0 | 65.0 | 10.0,No quality anomalies detected (Clean)
progress.csv,4,financial_progress_pct,FLOAT,20,20,0,0.0,18,90.0,2,12.50,98.75,70.63,87.50,29.70,Min: 12.50 | Q1: 45.53 | Med: 87.50 | Q3: 97.68 | Max: 98.75,98.21 | 96.67 | 90.0 | 97.5,No quality anomalies detected (Clean)
progress.csv,5,current_stage,STRING,20,20,0,0.0,4,20.0,16,Completed,Contract Awarded,,,,Completed: 8 (40.0%); Structure: 8 (40.0%); Foundation: 2 (10.0%); Contract Awarded: 2 (10.0%),Structure | Contract Awarded | Foundation | Completed,No quality anomalies detected (Clean)
progress.csv,6,days_delayed,INTEGER,20,20,0,0.0,2,10.0,18,0,95,9.50,0.00,28.50,Min: 0 | Q1: 0.00 | Med: 0.00 | Q3: 0.00 | Max: 95,95 | 0,No quality anomalies detected (Clean)
progress.csv,7,milestone_status,STRING,20,20,0,0.0,3,15.0,17,Critical,Completed,,,,On Track: 10 (50.0%); Completed: 8 (40.0%); Critical: 2 (10.0%),On Track | Completed | Critical,No quality anomalies detected (Clean)
progress.csv,8,inspected_by,STRING,20,20,0,0.0,1,5.0,19,District Executive Engineer,District Executive Engineer,,,,District Executive Engineer: 20 (100.0%),District Executive Engineer,Single unique value across all rows
progress.csv,9,inspection_date,DATE,20,20,0,0.0,1,5.0,19,2024-11-10,2024-11-10,,,,2024-11-10: 20 (100.0%),2024-11-10,Single unique value across all rows
progress.csv,10,inspection_remarks,STRING,20,20,0,0.0,4,20.0,16,Site inspected. Physical execution at 10.0%. Milestone: On Track.,Site inspected. Physical execution at 100.0%. Milestone: Completed.,,,,Site inspected. Physical execution at 100.0%. Milestone: Completed.: 8 (40.0%); Site inspected. Physical execution at 65.0%. Milestone: On Track.: 8 (40.0%); Site inspected. Physical execution at 35.0%. Milestone: Critical.: 2 (10.0%); Site inspected. Physical execution at 10.0%. Milestone: On Track.: 2 (10.0%),Site inspected. Physical execution at 65.0%. Milestone: On Track. | Site inspected. Physical execution at 35.0%. Milestone: Critical. | Site inspected. Physical execution at 100.0%. Milestone: Completed. | Site inspected. Physical execution at 10.0%. Milestone: On Track.,No quality anomalies detected (Clean)
progress.csv,11,geo_latitude,FLOAT,20,20,0,0.0,20,100.0,0,20.59,28.19,24.39,24.39,2.31,Min: 20.59 | Q1: 22.49 | Med: 24.39 | Q3: 26.29 | Max: 28.19,27.7937 | 26.1937 | 24.1937 | 28.1937,"Candidate Primary Key (100% unique, 0% null)"
progress.csv,12,geo_longitude,FLOAT,20,20,0,0.0,20,100.0,0,78.96,86.56,82.76,82.76,2.31,Min: 78.96 | Q1: 80.86 | Med: 82.76 | Q3: 84.66 | Max: 86.56,80.9629 | 83.3629 | 86.1629 | 84.1629,"Candidate Primary Key (100% unique, 0% null)"
progress.csv,13,photo_evidence_url,STRING,20,20,0,0.0,20,100.0,0,https://mplads.gov.in/photos/MPLADS-2024-0001_inspection.jpg,https://mplads.gov.in/photos/MPLADS-2024-0020_inspection.jpg,,,,https://mplads.gov.in/photos/MPLADS-2024-0001_inspection.jpg: 1 (5.0%); https://mplads.gov.in/photos/MPLADS-2024-0002_inspection.jpg: 1 (5.0%); https://mplads.gov.in/photos/MPLADS-2024-0003_inspection.jpg: 1 (5.0%); https://mplads.gov.in/photos/MPLADS-2024-0004_inspection.jpg: 1 (5.0%); and 16 other distinct values,https://mplads.gov.in/photos/MPLADS-2024-0008_inspection.jpg | https://mplads.gov.in/photos/MPLADS-2024-0012_inspection.jpg | https://mplads.gov.in/photos/MPLADS-2024-0010_inspection.jpg | https://mplads.gov.in/photos/MPLADS-2024-0013_inspection.jpg,"Candidate Primary Key (100% unique, 0% null)"
project_history.csv,1,project_id,STRING,68,68,0,0.0,20,29.41,48,MPLADS-2024-0001,MPLADS-2024-0020,,,,MPLADS-2024-0001: 4 (5.9%); MPLADS-2024-0004: 4 (5.9%); MPLADS-2024-0006: 4 (5.9%); MPLADS-2024-0008: 4 (5.9%); and 16 other distinct values,MPLADS-2024-0009 | MPLADS-2024-0020 | MPLADS-2024-0001 | MPLADS-2024-0005,No quality anomalies detected (Clean)
project_history.csv,2,event_type,STRING,68,68,0,0.0,4,5.88,64,Created,Work Order Issued,,,,Created: 20 (29.4%); Sanctioned: 20 (29.4%); Work Order Issued: 20 (29.4%); Completed: 8 (11.8%),Created | Work Order Issued | Sanctioned | Completed,No quality anomalies detected (Clean)
project_history.csv,3,previous_status,STRING,68,48,20,29.41,3,6.25,45,Sanctioned,Recommended,,,,Recommended: 20 (41.7%); Sanctioned: 20 (41.7%); In Progress: 8 (16.7%),Recommended | Sanctioned | In Progress,Moderate missingness (29.41% null)
project_history.csv,4,new_status,STRING,68,68,0,0.0,4,5.88,64,Completed,Work Order Issued,,,,Recommended: 20 (29.4%); Sanctioned: 20 (29.4%); Work Order Issued: 20 (29.4%); Completed: 8 (11.8%),Recommended | Work Order Issued | Sanctioned | Completed,No quality anomalies detected (Clean)
project_history.csv,5,event_timestamp,STRING,68,68,0,0.0,67,98.53,1,2024-06-02 10:00:00+05:30,2024-11-20 16:00:00+05:30,,,,2024-07-10 14:30:00+05:30: 2 (2.9%); 2024-06-15 10:00:00+05:30: 1 (1.5%); 2024-07-25 11:15:00+05:30: 1 (1.5%); 2024-11-20 16:00:00+05:30: 1 (1.5%); and 63 other distinct values,2024-07-18 11:15:00+05:30 | 2024-11-10 16:00:00+05:30 | 2024-09-05 14:30:00+05:30 | 2024-08-05 14:30:00+05:30,No quality anomalies detected (Clean)
project_history.csv,6,performed_by,STRING,68,68,0,0.0,23,33.82,45,Hon MP (Durg),District Authority / Collector,,,,District Authority / Collector: 20 (29.4%); Executive Engineer (DRDA): 20 (29.4%); District Executive Engineer: 8 (11.8%); Hon MP (Maldaha Uttar): 1 (1.5%); and 19 other distinct values,Hon MP (Medinipur) | Hon MP (Karnal) | Hon MP (Rae Bareli) | Hon MP (Valmiki Nagar),No quality anomalies detected (Clean)
project_history.csv,7,event_description,STRING,68,68,0,0.0,38,55.88,30,Tender finalized and work order issued to executing agency.,Work recommended by MP for Piped Water Supply Pipeline Extension to SC Habitation under financial year 2024-25.,,,,"Tender finalized and work order issued to executing agency.: 20 (29.4%); Final completion certificate and asset geo-tagging submitted.: 8 (11.8%); Administrative and financial sanction accorded for Rs. 1,500,000.00.: 2 (2.9%); Administrative and financial sanction accorded for Rs. 1,800,000.00.: 2 (2.9%); and 34 other distinct values","Tender finalized and work order issued to executing agency. | Work recommended by MP for Construction of Science Laboratory & Library Block under financial year 2024-25. | Administrative and financial sanction accorded for Rs. 1,800,000.00. | Work recommended by MP for Solid Waste Segregation Shed & Equipment under financial year 2024-25.",No quality anomalies detected (Clean)
